p5
VisualSearchTaskr
03/04/2015	13:57:33

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Loc	Color
GroupA	p5	RedGreen_Block1	RG_dsright_1, 6	response_target_j	j	j	Pressed	j	C	1422						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 6	response_cue	1	1	Pressed	1	C	1750						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 9	response_target_j	j	j	Pressed	j	C	777						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 9	response_cue	1	1	Pressed	1	C	1233						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 10	response_target_f	j	j	Pressed	f	E	1647						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 10	response_cue	1	1	Pressed	1	C	2071						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 1	response_target_f	f	f	Pressed	f	C	1375							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 1	response_no_cue	1	1	Pressed	2	E	1743							
GroupA	p5	RedGreen_Block1	RG_sdright_1, 2	response_target_j	j	j	Pressed	j	C	996						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 2	response_cue	1	1	Pressed	1	C	1428						DL	SC
GroupA	p5	RedGreen_Block1	RG_NCRight, 1	response_target_j	j	j	Pressed	j	C	2015							
GroupA	p5	RedGreen_Block1	RG_NCRight, 1	response_no_cue	2	2	Pressed	2	C	2399							
GroupA	p5	RedGreen_Block1	RG_sdright_1, 1	response_target_j	f	f	Pressed	j	E	1421						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 1	response_cue	1	1	Pressed	1	C	1876						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 4	response_target_j	f	f	Pressed	j	E	1528						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 4	response_cue	1	1	Pressed	1	C	3320						DL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 4	response_target_f	f	f	Pressed	f	C	1731							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 4	response_no_cue	1	1	Pressed	2	E	2091							
GroupA	p5	RedGreen_Block1	RG_ssright_1, 3	response_target_j	j	j	Pressed	j	C	608						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 3	response_cue	1	1	Pressed	1	C	1144						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCRight, 8	response_target_j	f	f	Pressed	j	E	1515							
GroupA	p5	RedGreen_Block1	RG_NCRight, 8	response_no_cue	1	1	Pressed	2	E	1875							
GroupA	p5	RedGreen_Block1	RG_NCRight, 5	response_target_j	f	f	Pressed	j	E	1070							
GroupA	p5	RedGreen_Block1	RG_NCRight, 5	response_no_cue	1	1	Pressed	2	E	1358							
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 4	response_target_f	j	j	Pressed	f	E	2715						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 4	response_cue	1	1	Pressed	1	C	3115						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 5	response_target_j	f	f	Pressed	j	E	1454						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 5	response_cue	1	1	Pressed	1	C	1774						DL	DC
GroupA	p5	RedGreen_Block1	RG_NCRight, 10	response_target_j	j	j	Pressed	j	C	1442							
GroupA	p5	RedGreen_Block1	RG_NCRight, 10	response_no_cue	1	1	Pressed	2	E	1778							
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 8	response_target_f	j	j	Pressed	f	E	2109						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 8	response_cue	1	1	Pressed	1	C	2477						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 4	response_target_f	j	j	Pressed	f	E	2741						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 4	response_cue	1	1	Pressed	1	C	2997						DL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 9	response_target_f	j	j	Pressed	f	E	885							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 9	response_no_cue	1	1	Pressed	2	E	1237							
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 2	response_target_f	f	f	Pressed	f	C	728						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 2	response_cue	1	1	Pressed	1	C	992						DL	DC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 8	response_target_f	j	j	Pressed	f	E	958						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 8	response_cue	1	1	Pressed	1	C	1198						SL	SC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 9	response_target_f	f	f	Pressed	f	C	1173						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 9	response_cue	1	1	Pressed	1	C	1429						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 5	response_target_f	f	f	Pressed	f	C	850						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 5	response_cue	1	1	Pressed	1	C	1106						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 2	response_target_f	j	j	Pressed	f	E	1611							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 2	response_no_cue	2	2	Pressed	2	C	2083							
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 1	response_target_f	f	f	Pressed	f	C	917						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 1	response_cue	1	1	Pressed	1	C	1285						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 6	response_target_f	f	f	Pressed	f	C	1114						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 6	response_cue	1	1	Pressed	1	C	1346						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 1	response_target_f	f	f	Pressed	f	C	844						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 1	response_cue	1	1	Pressed	1	C	1124						SL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 3	response_target_j	j	j	Pressed	j	C	1320						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 3	response_cue	1	1	Pressed	1	C	1472						DL	SC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 2	response_target_j	j	j	Pressed	j	C	965						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 2	response_cue	1	1	Pressed	1	C	1293						DL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 1	response_target_j	f	f	Pressed	j	E	1132						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 1	response_cue	1	1	Pressed	1	C	1404						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 8	response_target_j	j	j	Pressed	j	C	892						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 8	response_cue	1	1	Pressed	1	C	1188						SL	SC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 3	response_target_j	j	j	Pressed	j	C	1440						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 3	response_cue	1	1	Pressed	1	C	1688						SL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 9	response_target_f	f	f	Pressed	f	C	926						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 9	response_cue	1	1	Pressed	1	C	1198						DL	DC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 6	response_target_j	j	j	Pressed	j	C	1290						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 6	response_cue	1	1	Pressed	1	C	1562						DL	SC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 1	response_target_j	j	j	Pressed	j	C	1432						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 1	response_cue	1	1	Pressed	1	C	1664						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 3	response_target_j	j	j	Pressed	j	C	1142						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 3	response_cue	1	1	Pressed	1	C	1326						DL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 7	response_target_f	j	j	Pressed	f	E	786						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 7	response_cue	1	1	Pressed	1	C	1074						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 6	response_target_j	j	j	Pressed	j	C	907						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 6	response_cue	1	1	Pressed	1	C	1219						SL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 10	response_target_j	j	j	Pressed	j	C	990						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 10	response_cue	1	1	Pressed	1	C	1286						DL	SC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 3	response_target_f	j	j	Pressed	f	E	1189						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 3	response_cue	1	1	Pressed	1	C	1533						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 8	response_target_f	f	f	Pressed	f	C	1159						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 8	response_cue	1	1	Pressed	1	C	1431						DL	DC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 9	response_target_f	j	j	Pressed	f	E	940						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 9	response_cue	1	1	Pressed	1	C	1268						DL	SC
